Wall time,Step,Value
1677905845.916801,706,2.7572009563446045
1677905854.7506642,708,-6.2901129722595215
1677905857.2480853,709,-9.131123542785645
1677905861.5821364,710,-22.3576717376709
1677905869.7766986,714,1.8084850311279297
1677905879.2484732,718,4.097781658172607
1677905880.0357957,719,9.870495796203613
1677905888.8559191,721,4.643118381500244
1677905889.6101682,722,9.829869270324707
1677905891.929603,723,-8.654199600219727
1677905899.8907604,724,-71.33534240722656
1677905902.5652416,725,-11.2800931930542
1677905909.953119,726,-108.94964599609375
1677905920.897504,729,-1.4189437627792358
1677905924.5655098,730,-22.814847946166992
1677905925.9074159,731,4.434564113616943
1677905939.3662076,735,-11.584256172180176
1677905947.103328,736,-54.90471267700195
1677905955.1563282,738,9.657998085021973
1677905958.6927044,739,-13.043877601623535
1677905959.8649309,740,6.733112812042236
1677905961.80597,741,1.845970630645752
1677905964.1464274,743,8.871747970581055
1677905982.030432,746,-45.12238311767578
1677905989.0125735,747,-62.75124740600586
1677905993.1464243,749,10.484465599060059
1677905994.6809525,750,2.2811481952667236
1677906001.4655266,751,-54.12368392944336
1677906008.5555856,752,-79.97346496582031
1677906010.0919492,753,6.104117393493652
1677906012.5255978,754,-11.408519744873047
1677906016.5001702,756,7.690568447113037
1677906035.6837134,759,-50.39957809448242
1677906037.173732,760,2.5620880126953125
1677906044.5699008,762,1.3864994049072266
1677906047.8906982,764,-6.104677200317383
1677906054.7073724,765,-72.80256652832031
1677906061.473851,766,-74.88967895507812
1677906064.6562474,767,-20.731964111328125
1677906071.8730822,769,10.120979309082031
1677906073.517492,770,6.957691192626953
1677906075.0006077,771,4.719135761260986
1677906077.5247178,772,-11.22943115234375
1677906080.6659274,773,-8.509806632995605
1677906087.2271678,774,-84.72744750976562
1677906094.9937265,775,-77.3720703125
1677906096.1291745,776,8.05728816986084
1677906108.2287405,779,-39.04710006713867
1677906115.2628238,780,-76.8908920288086
1677906128.9347844,784,8.116745948791504
1677906130.0058863,785,7.037101745605469
1677906132.9300644,787,-3.380681276321411
1677906140.1796715,789,4.1345672607421875
1677906141.1161668,790,8.697854042053223
1677906144.4732144,791,-16.171401977539062
1677906145.418667,792,7.66770076751709
1677906152.1088052,793,-64.00105285644531
1677906152.896065,794,8.083211898803711
1677906153.9862893,795,5.594202518463135
1677906156.7787473,796,-17.62826156616211
1677906170.199727,798,-69.54781341552734
1677906174.2314267,800,-4.320233345031738
1677906178.6402342,802,-7.834112644195557
1677906188.9443362,805,4.640119552612305
1677906195.2835991,806,-85.40650939941406
1677906196.4380531,807,7.895491123199463
1677906197.5324616,808,10.469038963317871
1677906199.4431667,809,1.9065731763839722
1677906203.56901,811,-21.762203216552734
1677906205.0273123,812,4.376593589782715
1677906205.9581149,813,7.039698123931885
1677906219.3286061,815,-74.25987243652344
1677906225.7473133,816,-85.48189544677734
1677906237.8467298,818,-56.63153839111328
1677906242.1563988,821,-9.901593208312988
1677906244.739232,823,2.7032241821289062
1677906246.431697,824,2.975454568862915
1677906253.0724719,825,-124.86404418945312
1677906256.740431,828,4.338013172149658
1677906264.1476188,831,7.552484512329102
1677906271.615402,832,-42.168148040771484
1677906274.7390916,834,9.689045906066895
1677906275.694278,835,8.282044410705566
1677906277.5667617,836,-1.5741856098175049
1677906287.2309682,838,-17.14455223083496
1677906289.6879447,839,-10.100858688354492
1677906296.1360133,843,-4.215040683746338
1677906300.2220502,845,-14.843645095825195
1677906307.154519,846,-65.8524169921875
1677906309.3155205,847,-8.90280532836914
1677906313.4153228,848,-23.13923454284668
1677906317.7121053,850,0.10335136950016022
1677906320.2320426,851,-9.014877319335938
1677906322.5750961,852,-4.76260232925415
1677906326.6266966,853,-39.717437744140625
1677906329.8924916,855,8.05536937713623
1677906340.675995,857,-15.322575569152832
1677906350.6655796,859,-53.92445755004883
1677906357.9201844,860,-83.11842346191406
1677906359.2050247,861,7.257785797119141
1677906366.1402798,862,-79.87007904052734
1677906372.8032012,863,-41.877464294433594
1677906382.5813498,867,7.893934726715088
1677906389.181925,868,-79.4653091430664
1677906390.0725427,869,10.884233474731445
1677906391.4657676,870,2.4476447105407715
1677906398.230447,873,-11.112147331237793
1677906399.3568218,874,4.359669208526611
1677906405.8953257,875,-66.24775695800781
1677906407.9887683,876,-6.914888858795166
1677906410.489427,877,-5.818464279174805
1677906416.8786776,879,-23.789142608642578
1677906418.583667,880,-0.036737337708473206
1677906419.7290804,881,8.225109100341797
1677906422.7238958,882,-14.23432445526123
1677906426.7559834,884,2.346999406814575
1677906430.637876,886,5.994987964630127
1677906432.0815363,887,7.874800205230713
1677906438.5201917,888,-90.14683532714844
1677906445.1810746,889,-44.24393081665039
1677906449.2713447,890,-41.274864196777344
1677906452.0152845,892,2.9650886058807373
1677906455.1832273,893,-18.207176208496094
1677906456.1979034,894,11.198514938354492
1677906465.4442048,896,-77.48604583740234
1677906468.9277563,897,-28.321083068847656
1677906476.6373413,899,9.113789558410645
1677906482.8566594,900,-50.56999588012695
1677906492.95673,904,-66.35049438476562
1677906494.0104187,905,7.678875923156738
1677906502.2207248,907,-57.476051330566406
1677906503.163366,908,7.6777801513671875
1677906509.1272173,909,-47.75807189941406
1677906513.9533432,910,-43.763919830322266
1677906520.303187,911,-83.04906463623047
1677906521.463525,912,4.228431224822998
1677906528.260647,913,-40.916709899902344
1677906531.6761425,915,8.174084663391113
1677906532.604772,916,4.185587406158447
1677906533.6226487,917,9.874519348144531
1677906539.6362674,920,10.420307159423828
1677906540.5617013,921,7.924153804779053
1677906547.072813,922,-86.10551452636719
1677906548.3068671,923,3.9127895832061768
1677906551.1168396,925,8.516056060791016
1677906574.5518029,931,4.006869316101074
1677906578.6132321,932,-32.08983612060547
1677906581.8101022,933,-24.979217529296875
1677906584.0086162,935,6.578868389129639
1677906588.2581284,939,7.487224102020264
1677906598.0695868,942,5.958710670471191
1677906606.2272313,945,-14.807653427124023
1677906614.6938188,948,2.8086910247802734
1677906615.8886523,949,6.429330825805664
1677906623.8380368,951,-79.00164031982422
